一个顶俩 yi'ge'ding'lia
老莱娱亲 lao'lai'yu'qin
钻冰取火 zuan'bing'qu'huo
夸辩之徒 kua'bian'zhi'tu
打滚撒泼 da'gun'sa'po
愁肠九回 chou'chang'jiu'hui
老婆舌头 lao'po'she'tou
如圭如璋 ru'gui'ru'zhang
功成事遂 gong'cheng'shi'sui
死有余罪 si'you'yu'zui
击壤而歌 ji'rang'er'ge
代远年湮 dai'yuan'nian'yan
慧业文人 hui'ye'wen'ren
钜细靡遗 ju'xi'mi'yi
顺之者昌逆之者亡 shun'zhi'zhe'chang'ni'zhi'zhe'wang
鸦默雀静 ya'mo'que'jing
金貂换酒 jin'diao'huan'jiu
风流跌宕 feng'liu'die'dang
国不可一日无君 guo'bu'ke'yi'ri'wu'jun
屈尊降贵 qu'zun'jiang'gui
案甲休兵 an'jia'xiu'bing
长发其祥 zhang'fa'qi'xiang
猛虎添翼 meng'hu'tian'yi
自郐无讥 zi'kuai'wu'ji
挨肩搭背 ai'jian'da'bei
无故寻愁觅恨 wu'gu'xun'chou'mi'hen
邹与鲁哄 zou'yu'lu'hong
侍香金童 shi'xiang'jin'tong
弥月之喜 mi'yue'zhi'xi
出头的椽子先烂 chu'tou'de'chuan'zi'xian'lan
草草率率 cao'cao'lv'lv
长相思令 zhang'xiang'si'ling
吉事尚左 ji'shi'shang'zuo
寂寞时候 ji'mo'shi'hou
宁为鸡首 ning'wei'ji'shou
量小非君子 liang'xiao'fei'jun'zi
年长色衰 nian'zhang'se'shuai
吃饭家伙 chi'fan'jia'huo
禹疏九河 yu'shu'jiu'he
神色不变 shen'se'bu'bian
白马长史 bai'ma'zhang'shi
庄周家贫 zhuang''jia'pin
怕应羞见 pa'ying'xiu'jian
食不言寝不语 shi'bu'yan'qin'bu'yu
月上海棠 yue'shang'hai'tang
非言非默 fei'yan'fei'mo
徒费口舌 tu'fei'kou'she
解衣般礴 jie'yi'ban'bo
止足之分 zhi'zu'zhi'fen
到底意难平 dao'di'yi'nan'ping
子以四教 zi'yi'si'jiao
如土委地 ru'tu'wei'di
三千九万 san'qian'jiu'wan
并蒂莲花 bing'di'lian'hua
刘郎才气 liu'lang'cai'qi
五尺之僮 wu'chi'zhi'tong
命中无时莫强求 ming'zhong'wu'shi'mo'qiang'qiu
终身不忘 zhong'shen'bu'wang
清明寒食 qing'ming'han'shi
邪不能压正 xie'bu'neng'ya'zheng
叽哩呱啦 ji'li'gu'la
如今安在 ru'jin'an'zai
仁远乎哉 ren'yuan'hu'zai
四弘誓愿 si'hong'shi'yuan
跳出火坑 tiao'chu'huo'keng
浮生若水 fu'sheng'ruo'shui
君臣之义 jun'chen'zhi'yi
视若草芥 shi'ruo'cao'gai
月攘一鸡 yue'rang'yi'ji
各抱地势 ge'bao'di'shi
知向谁边 zhi'xiang'shui'bian
丈二金刚 zhang'er'jin'gang
照此类推 zhao'ci'lei'tui
百万之师 bai'wan'zhi'shi
星移斗换 xing'yi'dou'huan
内无怨女 nei'wu'yuan'nv
比于赤子 bi'yu'chi'zi
锦帽貂裘 jin'mao'diao'qiu
职是之故 zhi'shi'zhi'gu
强而避之 qiang'er'bi'zhi
寡人好色 gua'ren'hao'se
声势显赫 sheng'shi'xian'he
夕阳古道 xi'yang'gu'dao
忧劳成疾 you'lao'cheng'ji
无坚不入 wu'jian'bu'ru
群莺乱飞 qun'ying'luan'fei
杀人一万 sha'ren'yi'wan
变化气质 bian'hua'qi'zhi
鬓云松令 bin'yun'song'ling
以镒称铢 yi'yi'cheng'zhu
绿惨红愁 lv'can'hong'chou
日引月长 ri'yin'yue'zhang
小言詹詹 xiao'yan'zhan'zhan
壶中天地 hu'zhong'tian'di
奇形异状 qi'xing'yi'zhuang
明效大验 ming'xiao'da'yan
千头木奴 qian'tou'mu'nu
东山高卧 dong'shan'gao'wo
二三君子 er'san'jun'zi
七拉八扯 qi'la'ba'che
崇本抑末 chong'ben'yi'mo
急景凋年 ji'jing'diao'nian
其应如响 qi'ying'ru'xiang
跋山涉川 ba'shan'she'chuan
三亲六眷 san'qin'liu'juan
心灵震颤 xin'ling'zhen'chan
意懒心灰 yi'lan'xin'hui
信而有证 xin'er'you'zheng
案堵如故 an'du'ru'gu
放诞不拘 fang'dan'bu'ju
手高眼低 shou'gao'yan'di
七搭八搭 qi'da'ba'da
眠思梦想 mian'si'meng'xiang
聊以塞责 liao'yi'sai'ze
安乐净土 an'le'jing'tu
安处先生 an'chu'xian'sheng
荒时暴月 huang'shi'bao'yue
打鸭子上架 da'ya'zi'shang'jia
伏猎侍郎 fu'lie'shi'lang
洞庭春色 dong'ting'chun'se
窈窈冥冥 yao'yao'ming'ming
傲睨一切 ao'ni'yi'qie
将顺其美 jiang'shun'qi'mei
一薰一莸 yi'xun'yi'you
鼓上蚤时迁 gu'shang'zao'shi'qian
茅屋采椽 mao'wu'cai'chuan
蜂虿有毒 feng'chai'you'du
其中有象 qi'zhong'you'xiang
上士闻道 shang'shi'wen'dao
漫天过海 man'tian'guo'hai
三等九般 san'deng'jiu'ban
忧心悄悄 you'xin'qiao'qiao
夫妻没有隔夜仇 fu'qi'mei'you'ge'ye'chou
弄神弄鬼 nong'shen'nong'gui
不忍释卷 bu'ren'shi'juan
书声朗朗 shu'sheng'lang'lang
荡检逾闲 dang'jian'yu'xian
弟子孩儿 di'zi'hai'r
头童齿豁 tou'tong'chi'huo
逞妍斗色 cheng'yan'dou'se
珠箔银屏 zhu'bo'yin'ping
无平不陂 wu'ping'bu'bei
以患为利 yi'huan'wei'li
九牛一毫 jiu'niu'yi'hao
重抄旧业 zhong'chao'jiu'ye
一退六二五 yi'tui'liu'er'wu
朝不保暮 chao'bu'bao'mu
乳水交融 ru'shui'jiao'rong
甘露法雨 gan'lu'fa'yu
修饰边幅 xiu'shi'bian'fu
春风浩荡 chun'feng'hao'dang
嘴甜心苦 zui'tian'xin'ku
果行育德 guo'xing'yu'de
曾无与二 ceng'wu'yu'er
左建外易 zuo'jian'wai'yi
视险如夷 shi'xian'ru'yi
春风袅娜 chun'feng'niao'na
留连不舍 liu'lian'bu'she
见豕负涂 jian'shi'fu'tu
不愧屋漏 bu'kui'wu'lou
冷眉冷眼 leng'mei'leng'yan
倍日并行 bei'ri'bing'xing
情情如意 qing'qing'ru'yi
画龙点晴 hua'long'dian'qing
无服之殇 wu'fu'zhi'shang
阿毗地狱 a'pi'di'yu
出乖弄丑 chu'guai'nong'chou
铄石流金 shuo'shi'liu'jin
事有必至 shi'you'bi'zhi
平民文学 ping'min'wen'xue
乘舆播越 cheng'yu'bo'yue
人众胜天 ren'zhong'sheng'tian
心逸日休 xin'yi'ri'xiu
孤雁出群 gu'yan'chu'qun
好色不淫 hao'se'bu'yin
倍道而行 bei'dao'er'xing
天打雷轰 tian'da'lei'hong
破格用人 po'ge'yong'ren
顾彼失此 gu'bi'shi'ci
岛瘦郊寒 dao'shou'jiao'han
箪瓢陋巷 dan'piao'lou'xiang
拙嘴笨腮 zhuo'zui'ben'sai
班荆道故 ban'jing'dao'gu
伏法受诛 fu'fa'shou'zhu
惨澹经营 can'dan'jing'ying
创业难守业更难 chuang''nan'shou'ye'geng'nan
饰非拒谏 shi'fei'ju'jian
白衣公卿 bai'yi'gong'qing
疏疏朗朗 shu'shu'lang'lang
分花拂柳 fen'hua'fu'liu
始末原由 shi'mo'yuan'you
扬榷古今 yang'que'gu'jin
擿奸发伏 ti'jian'fa'fu
强弱异势 qiang'ruo'yi'shi
活剥生吞 huo'bo'sheng'tun
久经世故 jiu'jing'shi'gu
贩夫贩妇 fan'fu'fan'fu
子路负米 zi'lu'fu'mi
破壁飞去 po'bi'fei'qu
矫时慢物 jiao'shi'man'wu
车马喧阗 che'ma'xuan'tian
万载千秋 wan'zai'qian'qiu
蝎蝎螫螫 xie'xie'shi'shi
心花怒发 xin'hua'nu'fa
同心一德 tong'xin'yi'de
牝鸡无晨 pin'ji'wu'chen
金汤之固 jin'tang'zhi'gu
人心齐泰山移 ren'xin'qi'tai'shan'yi
勤则不匮 qin'ze'bu'kui
三茶六礼 san'cha'liu'li
不识之无 bu'shi'zhi'wu
鱼雁往返 yu'yan'wang'fan
知名当世 zhi'ming'dang'shi
花花轿子人抬人 hua'hua'jiao'zi'ren'tai'ren
闻斯行诸 wen'si'xing'zhu
兴波作浪 xing'bo'zuo'lang
道君皇帝 dao'jun'huang'di
物无美恶 wu'wu'mei'e
吃菜事魔 chi'cai'shi'mo
人无横财不富 ren'wu'heng'cai'bu'fu
五行并下 wu'xing'bing'xia
在外靠朋友 zai'wai'kao'peng'you
东土九祖 dong'tu'jiu'zu
白足和尚 bai'zu'he'shang
奇离古怪 qi'li'gu'guai
风尘之警 feng'chen'zhi'jing
千里不同风 qian'li'bu'tong'feng
裙屐少年 qun'ji'shao'nian
山高水深 shan'gao'shui'shen
忍痛牺牲 ren'tong'xi'sheng
穷凶恶极 qiong'xiong'e'ji
加盐加醋 jia'yan'jia'cu
攻无不胜 gong'wu'bu'sheng
快手快脚 kuai'shou'kuai'jiao
落日楼头 luo'ri'lou'tou
杖朝之年 zhang'chao'zhi'nian
无情风雨 wu'qing'feng'yu
长啸一声 zhang'xiao'yi'sheng
死伤枕藉 si'shang'zhen'ji
乍暖乍寒 zha'nuan'zha'han
温其如玉 wen'qi'ru'yu
才气纵横 cai'qi'zong'heng
江神子慢 jiang'shen'zi'man
有钱用在刀刃上 you'qian'yong'zai'dao'ren'shang
天不变道亦不变 tian'bu'bian'dao'yi'bu'bian
威振天下 wei'zhen'tian'xia
春服既成 chun'fu'ji'cheng
釜底之鱼 fu'di'zhi'yu
胜似春光 sheng'shi'chun'guang
风鬟霜鬓 feng'huan'shuangbin'bin
若出其里 ruo'chu'qi'li
碌碌之辈 lu'lu'zhi'bei
千古一人 qian'gu'yi'ren
吓杀人香 xia'sha'ren'xiang
两好合一好 liang'hao'he'yi'hao
人恒敬之 ren'heng'jing'zhi
勤而行之 qin'er'xing'zhi
多见阙殆 duo'jian'que'dai
漫天烽火 man'tian'feng'huo
虎口拔须 hu'kou'ba'xu
九白之贡 jiu'bai'zhi'gong
有仇不报非君子 you'chou'bu'bao'fei'jun'zi
过则为灾 guo'ze'wei'zai
长太息以掩涕兮 zhang'tai'xi'yi'yan'ti'xi
阿耨达山 a'nou'da'shan
存亡之秋 cun'wang'zhi'qiu
好铁不打钉 hao'tie'bu'da'ding
为人不做亏心事 wei'ren'bu'zuo'kui'xin'shi
音声相和 yin'sheng'xiang'he
无物之象 wu'wu'zhi'xiang
士可杀而不可辱 shi'ke'sha'er'bu'ke'ru
有钱道真语 you'qian'dao'zhen'yu
贵客临门 gui'ke'lin'men
带经而锄 dai'jing'er'chu
知常曰明 zhi'chang'yue'ming
君子怀德 jun'zi'huai'de
两不相干 liang'bu'xiang'gan
实而备之 shi'er'bei'zhi
君臣有义 jun'chen'you'yi
有时似傻如狂 you'shi'shi'sha'ru'kuang
远之则怨 yuan'zhi'ze'yuan
雾海夜航 wu'hai'ye'hang
子贡问政 zi'gong'wen'zheng
善感多愁 shan'gan'duo'chou
竹林听雨 zhu'lin'ting'yu
行为偏僻性乖张 xing'wei'pian'pi'xing'guai'zhang
半糖夫妻 ban'tang'fu'qi
知恩必报 zhi'en'bi'bao
忧思难忘 you'si'nan'wang
没羽箭张清 mei'yu'jian'zhang'qing
举尔所知 ju'er'suo'zhi
人得而诛之 ren'de'er'zhu'zhi
五步一楼 wu'bu'yi'lou
寂兮寥兮 ji'xi'liao'xi
眼福不浅 yan'fu'bu'qian
物或恶之 wu'huo'e'zhi
可惜流年 ke'xi'liu'nian
有钱难买老来瘦 you'qian'nan'mai'lao'lai'shou
汗流如雨 han'liu'ru'yu
凄清如许 qi'qing'ru'xu
人饥己饥 ren'ji'ji'ji
超凡出世 chao'fan'chu'shi
连衽成帷 lian'ren'cheng'wei
费嘴皮子 fei'zui'pi'zi
雁字回时 yan'zi'hui'shi
金陵王气 jin'ling'wang'qi
人善人欺天不欺 ren'shan'ren'qi'tian'bu'qi
诞罔不经 dan'wang'bu'jing
闭月羞花般 bi'yue'xiu'hua'ban
人生实难 ren'sheng'shi'nan
相知有素 xiang'zhi'you'su
除臣洗马 chu'chen'xi'ma
知足者富 zhi'zu'zhe'fu
南朝民歌 nan'chao'min'ge
为天下溪 wei'tian'xia'xi
方正贤良 fang'zheng'xian'liang
金印如斗 jin'yin'ru'dou
依人篱下 yi'ren'li'xia
名实难副 ming'shi'nan'fu
趔趔趄趄 lie'lie'ju'ju
营火晚会 ying'huo'wan'hui
匠心独妙 jiang'xin'du'miao
同休等戚 tong'xiu'deng'qi
匪朝伊夕 fei'chao'yi'xi
独此一家别无分店 du'ci'yi'jia'bie'wu'fen'dian
洗垢求瘢 xi'gou'qiu'ban
黑地昏天 hei'di'hun'tian
护国佑民 hu'guo'you'min
标新领异 biao'xin'ling'yi
通盘计划 tong'pan'ji'hua
如履如临 ru'lv'ru'lin
改张易调 gai'zhang'yi'diao
闳言崇议 hong'yan'chong'yi
一秉至公 yi'bing'zhi'gong
格格不纳 ge'ge'bu'na
甲第连云 jia'di'lian'yun
野人献曝 ye'ren'xian'pu
物壮则老 wu'zhuang''lao
重九登高 zhong'jiu'deng'gao
泣血椎心 qi'xue'chui'xin
法不徇情 fa'bu'xun'qing
讪牙闲嗑 shan'ya'xian'ke
迁乔出谷 qian'qiao'chu'gu
笙歌彻夜 sheng'ge'che'ye
杀一利百 sha'yi'li'bai
寄雁传书 ji'yan'chuan'shu
画荻教子 hua'di'jiao'zi
一片散沙 yi'pian'san'sha
目所未睹 mu'suo'wei'du
剖心坼肝 pou'xin'che'gan
乌鹊南飞 wu'que'nan'fei
返魂无术 fan'hun'wu'shu
赫然有声 he'ran'you'sheng
夷然自若 yi'ran'zi'ruo
日出而作日入而息 ri'chu'er'zuo'ri'ru'er'xi
字字珠玉 zi'zi'zhu'yu
迁莺出谷 qian'ying'chu'gu
脚踢拳打 jiao'ti'quan'da
钳口结舌 qian'kou'jie'she
如鱼似水 ru'yu'shi'shui
矫情饰貌 jiao'qing'shi'mao
简捷了当 jian'jie'le'dang
贫不学俭 pin'bu'xue'jian
伐性之斧 fa'xing'zhi'fu
霞裙月帔 xia'qun'yue'pei
多事多患 duo'shi'duo'huan
三年化碧 san'nian'hua'bi
贪欲无厌 tan'yu'wu'yan
开台锣鼓 kai'tai'luo'gu
五方杂厝 wu'fang'za'cuo
真赃实犯 zhen'zang'shi'fan
忧公忘私 you'gong'wang'si
何其毒也 he'qi'du'ye
祸福倚伏 huo'fu'yi'fu
盘石之安 pan'shi'zhi'an
风尘之言 feng'chen'zhi'yan
噬脐无及 shi'qi'wu'ji
吃粮不管事 chi'liang'bu'guan'shi
里外夹攻 li'wai'jia'gong
侯王将相 hou'wang'jiang'xiang
闲情别致 xian'qing'bie'zhi
毁钟为铎 hui'zhong'wei'duo
废然而反 fei'ran'er'fan
肌理细腻 ji'li'xi'ni
则以学文 ze'yi'xue'wen
因缘为市 yin'yuan'wei'shi
金口木舌 jin'kou'mu'she
攻苦食啖 gong'ku'shi'dan
道亦乐得之 dao'yi'le'de'zhi
济世安邦 ji'shi'an'bang
初出茅芦 chu'chu'mao'lu
西山日迫 xi'shan'ri'po
坐运筹策 zuo'yun'chou'ce
平康正直 ping'kang'zheng'zhi
舞勺之年 wu'shao'zhi'nian
执鞭坠镫 zhi'bian'zhui'deng
香消玉碎 xiang'xiao'yu'sui
命俦啸侣 ming'chou'xiao'lv
贵极人臣 gui'ji'ren'chen
立雪程门 li'xue'cheng'men
同利相死 tong'li'xiang'si
切中时病 qie'zhong'shi'bing
回春之术 hui'chun'zhi'shu
止暴禁非 zhi'bao'jin'fei
根生土长 gen'sheng'tu'zhang
成精作怪 cheng'jing'zuo'guai
及锋而试 ji'feng'er'shi
非钱不行 fei'qian'bu'xing
平地青云 ping'di'qing'yun
挨肩叠背 ai'jian'die'bei
一时半霎 yi'shi'ban'sha
家长理短 jia'zhang'li'duan
神采焕然 shen'cai'huan'ran
匪躬之节 fei'gong'zhi'jie
遥相应和 yao'xiang'ying'he
不解衣带 bu'jie'yi'dai
就虚避实 jiu'xu'bi'shi
寸铁杀人 cun'tie'sha'ren
连类比物 lian'lei'bi'wu
不轻然诺 bu'qing'ran'nuo
剔抽秃刷 ti'chou'tu'shua
袁安高卧 yuan'an'gao'wo
应权通变 ying'quan'tong'bian
神气扬扬 shen'qi'yang'yang
酿成大患 niang'cheng'da'huan
老而益壮 lao'er'yi'zhuang
打着灯笼没处找 da'zhe'deng'long'mei'chu'zhao
和风拂面 he'feng'fu'mian
江东步兵 jiang'dong'bu'bing
求索无厌 qiu'suo'wu'yan
丰亨豫大 feng'heng'yu'da
按堵如故 an'du'ru'gu
左旋右抽 zuo'xuan'you'chou
英才盖世 ying'cai'gai'shi
无古不成今 wu'gu'bu'cheng'jin
善复为妖 shan'fu'wei'yao
喇叭声咽 la'ba'sheng'yan
油脂麻花 you'zhi'ma'hua
人皆仰之 ren'jie'yang'zhi
无钱语不真 wu'qian'yu'bu'zhen
骑虎之势 qi'hu'zhi'shi
图难于易 tu'nan'yu'yi
风传一时 feng'chuan'yi'shi
尘缘未断 chen'yuan'wei'duan
有过则改 you'guo'ze'gai
杳无信息 yao'wu'xin'xi
小小寰球 xiao'xiao'huan'qiu
百姓皆谓 bai'xing'jie'wei
百里杜氏 bai'li'du'shi
胜人者力 sheng'ren'zhe'li
见钱关子 jian'qian'guan'zi
事亲为大 shi'qin'wei'da
山盟虽在 shan'meng'sui'zai
雷声大雨 lei'sheng'da'yu
莫之能守 mo'zhi'neng'shou
庄子送葬 zhuang''song'zang
亲而誉之 qin'er'yu'zhi
外无旷夫 wai'wu'kuang'fu
树艺五谷 shu'yi'wu'gu
人之所欲 ren'zhi'suo'yu
化育万物 hua'yu'wan'wu
人皆见之 ren'jie'jian'zhi
人老精鬼老灵 ren'lao'jing'gui'lao'ling
干戈相见 gan'ge'xiang'jian
山间竹笋 shan'jian'zhu'sun
神州沉陆 shen'zhou'chen'lu
庆清朝慢 qing'qing'chao'man
欲而不贪 yu'er'bu'tan
明星荧荧 ming'xing'ying'ying
有钱不买半年闲 you'qian'bu'mai'ban'nian'xian
百八烦恼 bai'ba'fan'nao
方死方生 fang'si'fang'sheng
几年离索 ji'nian'li'suo
大是不同 da'shi'bu'tong
众口烁金 zhong'kou'shuo'jin
言文一致 yan'wen'yi'zhi
开口见胆 kai'kou'jian'dan
长材短用 zhang'cai'duan'yong
仓皇无措 cang'huang'wu'cuo
决不待时 jue'bu'dai'shi
多病多愁 duo'bing'duo'chou
穷达有命 qiong'da'you'ming
俐齿伶牙 li'chi'ling'ya
鼻孔撩天 bi'kong'liao'tian
荐绅先生 jian'shen'xian'sheng
落雁沉鱼 luo'yan'chen'yu
九衢三市 jiu'qu'san'shi
兄死弟及 xiong'si'di'ji
步障自蔽 bu'zhang'zi'bi
疾不可为 ji'bu'ke'wei
惮赫千里 dan'he'qian'li
鼓盆之戚 gu'pen'zhi'qi
牖中窥日 you'zhong'kui'ri
又作别论 you'zuo'bie'lun
棣华增映 di'hua'zeng'ying
带砺山河 dai'li'shan'he
假情假意 jia'qing'jia'yi
才大如海 cai'da'ru'hai
以战去战 yi'zhan'qu'zhan
阿耨达池 a'nou'da'chi
粥粥无能 zhou'zhou'wu'neng
衣裳之会 yi'shang'zhi'hui
拨乱诛暴 bo'luan'zhu'bao
一曲阳关 yi'qu'yang'guan
鸡鹜争食 ji'wu'zheng'shi
阪上走丸 ban'shang'zou'wan
蠡测管窥 li'ce'guan'kui
白黑不分 bai'hei'bu'fen
残茶剩饭 can'cha'sheng'fan
饮恨吞声 yin'hen'tun'sheng
东曦既驾 dong'xi'ji'jia
沉博绝丽 chen'bo'jue'li
无靠无依 wu'kao'wu'yi
按甲寝兵 an'jia'qin'bing
惇信明义 dun'xin'ming'yi
寻幽探胜 xun'you'tan'sheng
当行出色 dang'xing'chu'se
啮雪吞毡 nie'xue'tun'zhan
东寻西觅 dong'xun'xi'mi
唧唧嘎嘎 ji'ji'ga'ga
没毛大虫 mei'mao'da'chong
罪无可逭 zui'wu'ke'huan
坐薪尝胆 zuo'xin'chang'dan
浩气凛然 hao'qi'lin'ran
强本节用 qiang'ben'jie'yong
声闻过情 sheng'wen'guo'qing
若崩厥角 ruo'beng'jue'jiao
美女破舌 mei'nv'po'she
淫声浪语 yin'sheng'lang'yu
人贫智短 ren'pin'zhi'duan
辉光日新 hui'guang'ri'xin
花花点点 hua'hua'dian'dian
删芜就简 shan'wu'jiu'jian
面目黎黑 mian'mu'li'hei
死灰复然 si'hui'fu'ran
孽子孤臣 nie'zi'gu'chen
望风扑影 wang'feng'pu'ying
心弛神往 xin'chi'shen'wang
沙鸥翔集 sha'ou'xiang'ji
姱容修态 kua'rong'xiu'tai
阻山带河 zu'shan'dai'he
周急继乏 zhou'ji'ji'fa
家鸡野鹜 jia'ji'ye'wu
磨砖作镜 mo'zhuan'zuo'jing
胸有丘壑 xiong'you'qiu'he
龙潜凤采 long'qian'feng'cai
以功赎罪 yi'gong'shu'zui
草草完事 cao'cao'wan'shi
车辙马迹 che'zhe'ma'ji
眄视指使 mian'shi'zhi'shi
咬定牙根 yao'ding'ya'gen
凤翥鸾回 feng'zhu'luan'hui
日暮途远 ri'mu'tu'yuan
皓齿蛾眉 hao'chi'e'mei
阿家阿翁 a'jia'a'weng
争斤论两 zheng'jin'lun'liang
明并日月 ming'bing'ri'yue
锦绣肝肠 jin'xiu'gan'chang
倒悬之危 dao'xuan'zhi'wei
啜英咀华 chuai'ying'ju'hua
策马飞舆 ce'ma'fei'yu
更长漏永 geng'zhang'lou'yong
横眉立眼 heng'mei'li'yan
遗风余韵 yi'feng'yu'yun
冠盖相属 guan'gai'xiang'shu
焚林而田 fen'lin'er'tian
横眉冷目 heng'mei'leng'mu
三旨相公 san'zhi'xiang'gong
五石六鹢 wu'shi'liu'yi
手足异处 shou'zu'yi'chu
有始有卒 you'shi'you'cu
连汤带水 lian'tang'dai'shui
食少事繁 shi'shao'shi'fan
孤鸾寡鹄 gu'luan'gua'gu
屈高就下 qu'gao'jiu'xia
忧心如捣 you'xin'ru'dao
旁指曲谕 pang'zhi'qu'yu
倒屣相迎 dao'xi'xiang'ying
口讲指画 kou'jiang'zhi'hua
顿足失色 dun'zu'shi'se
袅娜娉婷 niao'na'ping'ting
贫嘴恶舌 pin'zui'e'she
道远任重 dao'yuan'ren'zhong
凤友鸾交 feng'you'luan'jiao
季常之癖 ji'chang'zhi'pi
起凤腾蛟 qi'feng'teng'jiao
一举万里 yi'ju'wan'li
饮冰食檗 yin'bing'shi'bo
鸾翔凤集 luan'xiang'feng'ji
饿虎之蹊 e'hu'zhi'qi
油然作云 you'ran'zuo'yun
九烈三贞 jiu'lie'san'zhen
矢忠不二 shi'zhong'bu'er
下笔成文 xia'bi'cheng'wen
安魂定魄 an'hun'ding'po
明月之诗 ming'yue'zhi'shi
垂饵虎口 chui'er'hu'kou
神头鬼面 shen'tou'gui'mian
高牙大纛 gao'ya'da'dao
独行独断 du'xing'du'duan
戮力一心 lu'li'yi'xin
笔补造化 bi'bu'zao'hua
不识一丁 bu'shi'yi'ding
硝烟弹雨 xiao'yan'dan'yu
昏聩无能 hun'kui'wu'neng
垂范百世 chui'fan'bai'shi
换羽移宫 huan'yu'yi'gong
水远山遥 shui'yuan'shan'yao
行不更名坐不改姓 xing'bu'geng'ming'zuo'bu'gai'xing
似水如鱼 shi'shui'ru'yu
无所可否 wu'suo'ke'fou
咒天骂地 zhou'tian'ma'di
旰食宵衣 gan'shi'xiao'yi
温情蜜意 wen'qing'mi'yi
耳不忍闻 er'bu'ren'wen
发纵指示 fa'zong'zhi'shi
入主出奴 ru'zhu'chu'nu
游心骇耳 you'xin'hai'er
损有余补不足 sun'you'yu'bu'bu'zu
令仪令色 ling'yi'ling'se
祸因恶积 huo'yin'e'ji
忧心如醉 you'xin'ru'zui
尖声尖气 jian'sheng'jian'qi
年逾耳顺 nian'yu'er'shun
悬肠挂肚 xuan'chang'gua'du
一枝一节 yi'zhi'yi'jie
有目共赏 you'mu'gong'shang
屦贱踊贵 ju'jian'yong'gui
赏不当功 shang'bu'dang'gong
书不释手 shu'bu'shi'shou
左萦右拂 zuo'ying'you'fu
别易会难 bie'yi'hui'nan
饮血茹毛 yin'xue'ru'mao
巍巍荡荡 wei'wei'dang'dang
骑者善堕 qi'zhe'shan'duo
倚门献笑 yi'men'xian'xiao
悲欢聚散 bei'huan'ju'san
酒阑宾散 jiu'lan'bin'san
退有后言 tui'you'hou'yan
一鞭一条痕 yi'bian'yi'tiao'hen
一还一报 yi'hai'yi'bao
心忙意乱 xin'mang'yi'luan
莫信直中直 mo'xin'zhi'zhong'zhi
天高地下 tian'gao'di'xia
燕巢于幕 yan'chao'yu'mu
一谷不升 yi'gu'bu'sheng
以半击倍 yi'ban'ji'bei
四方辐辏 si'fang'fu'cou
馔玉炊金 zhuan'yu'chui'jin
平步登天 ping'bu'deng'tian
公侯干城 gong'hou'gan'cheng
熟路轻车 shu'lu'qing'che
敝盖不弃 bi'gai'bu'qi
对证下药 dui'zheng'xia'yao
对症发药 dui'zheng'fa'yao
水流花落 shui'liu'hua'luo
积沙成滩 ji'sha'cheng'tan
眉欢眼笑 mei'huan'yan'xiao
士饱马腾 shi'bao'ma'teng
浪蝶狂蜂 lang'die'kuang'feng
黄泉之下 huang'quan'zhi'xia
宰相肚里好撑船 zai'xiang'du'li'hao'cheng'chuan
酒后无德 jiu'hou'wu'de
一寸丹心 yi'cun'dan'xin
独异于人 du'yi'yu'ren
无地自处 wu'di'zi'chu
桃李成蹊 tao'li'cheng'qi
拿刀动杖 na'dao'dong'zhang
闷海愁山 men'hai'chou'shan
更令明号 geng'ling'ming'hao
含垢忍耻 han'gou'ren'chi
出言有章 chu'yan'you'zhang
喻之以理 yu'zhi'yi'li
吴越同舟 wu'yue'tong'zhou
中心如噎 zhong'xin'ru'ye
煨干就湿 wei'gan'jiu'shi
扫穴犁庭 sao'xue'li'ting
金石至交 jin'shi'zhi'jiao
高下其手 gao'xia'qi'shou
穿房入户 chuan'fang'ru'hu
徙薪曲突 xi'xin'qu'tu
朽木粪土 xiu'mu'fen'tu
礼乐崩坏 li'le'beng'huai
助天为虐 zhu'tian'wei'nve
顺风扯旗 shun'feng'che'qi
人是衣裳马是鞍 ren'shi'yi'shang'ma'shi'an
无昼无夜 wu'zhou'wu'ye
殊涂同归 shu'tu'tong'gui
安危相易 an'wei'xiang'yi
哀戚之情 ai'qi'zhi'qing
一诺无辞 yi'nuo'wu'ci
开口见心 kai'kou'jian'xin
折腰升斗 zhe'yao'sheng'dou
屐齿之折 ji'chi'zhi'zhe
人贫志短 ren'pin'zhi'duan
一介之善 yi'jie'zhi'shan
明来暗去 ming'lai'an'qu
画地为狱 hua'di'wei'yu
朱干玉戚 zhu'gan'yu'qi
撞府冲州 zhuang''chong'zhou
斗升之禄 dou'sheng'zhi'lu
二满三平 er'man'san'ping
恶衣菲食 e'yi'fei'shi
诛求无厌 zhu'qiu'wu'yan
自身恐惧 zi'shen'kong'ju
进本退末 jin'ben'tui'mo
愁眉苦眼 chou'mei'ku'yan
公是公非 gong'shi'gong'fei
入孝出弟 ru'xiao'chu'di
长林丰草 zhang'lin'feng'cao
黄衣使者 huang'yi'shi'zhe
连二并三 lian'er'bing'san
三贤十圣 san'xian'shi'sheng
潜踪隐迹 qian'zong'yin'ji
鹤唳风声 he'li'feng'sheng
三生有缘 san'sheng'you'yuan
实心眼儿 shi'xin'yan'r
只字片纸 zhi'zi'pian'zhi
于飞之乐 yu'fei'zhi'le
翻陈出新 fan'chen'chu'xin
桀骜不恭 jie'ao'bu'gong
